,team1Name,team1Score,team2Name,team2Score,result,winningOdds_team1,winningOdds_team2
Jan-54,Chicago Cubs,5,Oakland Athletics,4,Chicago Cubs,1.74,2.28
Feb-54,Los Angeles Dodgers,6,Cleveland Guardians,2,Los Angeles Dodgers,1.6,2.45
Mar-54,San Francisco Giants,3,Arizona Diamondbacks,5,Arizona Diamondbacks,1.57,2.71
Apr-54,Texas Rangers,14,Chicago White Sox,5,Chicago White Sox,2.4,1.74
May-54,Atlanta Braves,7,Tampa Bay Rays,7,Tampa Bay Rays,1.84,2.1
Jun-54,Boston Red Sox,4,Minnesota Twins,10,Boston Red Sox,1.8,2.24
Jul-54,Detroit Tigers,6,Pittsburgh Pirates,6,Pittsburgh Pirates,1.53,2.8
Aug-54,Houston Astros,10,St.Louis Cardinals,3,St.Louis Cardinals,1.84,2.12
Sep-54,Miami Marlins,3,Washington Nationals,2,Miami Marlins,2.05,1.91
Oct-54,Philadelphia Phillies,8,Toronto Blue Jays,7,Philadelphia Phillies,1.64,2.45
Nov-54,New York Mets,2,Houston Astros,0,New York Mets,1.62,2.85
Dec-54,Arizona Diamondbacks,1,Texas Rangers,4,Texas Rangers,2.1,1.86
54-13,Los Angeles Angels,7,Colorado Rockies,4,Los Angeles Angels,1.71,2.22
54-14,Milwaukee Brewers,3,Chicago White Sox,4,Chicago White Sox,2.45,1.65
54-15,Seattle Mariners,5,Chicago Cubs,5,Chicago Cubs,1.77,2.25
54-16,Cleveland Guardians,6,San Diego Padres,1,Cleveland Guardians,1.8,2.15
54-17,Kansas City Royals,5,Oakland Athletics,3,Kansas City Royals,1.66,2.46
54-18,Los Angeles Dodgers,8,Cincinnati Reds,10,Los Angeles Dodgers,1.54,2.65
54-19,Toronto Blue Jays,9,New York Yankees,2,Toronto Blue Jays,1.57,2.69
54-20,Minnesota Twins,0,Atlanta Braves,4,Atlanta Braves,1.76,2.15
54-21,Philadelphia Phillies,7,Detroit Tigers,2,Philadelphia Phillies,2.03,1.95
54-22,Pittsburgh Pirates,9,Baltimore Orioles,10,Pittsburgh Pirates,1.74,2.25
54-23,St.Louis Cardinals,4,Miami Marlins,3,St.Louis Cardinals,1.67,2.41
54-24,Tampa Bay Rays,2,Boston Red Sox,4,Boston Red Sox,1.78,2.27
54-25,San Francisco Giants,6,Milwaukee Brewers,13,San Francisco Giants,2.01,1.97
54-26,Washington Nationals,3,St.Louis Cardinals,7,St.Louis Cardinals,1.8,2.34
54-27,Arizona Diamondbacks,9,Seattle Mariners,1,Arizona Diamondbacks,2.2,1.81
54-28,Los Angeles Angels,5,Kansas City Royals,8,Kansas City Royals,1.57,2.54
54-29,San Diego Padres,4,Colorado Rockies,8,Colorado Rockies,1.54,2.71
54-30,Chicago Cubs,3,Cincinnati Reds,2,Chicago Cubs,1.86,2.05
54-31,Chicago White Sox,8,Los Angeles Dodgers,6,Chicago White Sox,2.3,1.76
54-32,Cleveland Guardians,12,Texas Rangers,25,Texas Rangers,2.01,2.04
54-33,Baltimore Orioles,10,Minnesota Twins,8,Minnesota Twins,1.72,2.38
54-34,Boston Red Sox,5,Atlanta Braves,0,Boston Red Sox,1.78,2.29
54-35,Detroit Tigers,1,Toronto Blue Jays,3,Toronto Blue Jays,2.37,1.69
54-36,Miami Marlins,3,New York Mets,0,Miami Marlins,1.84,2.15
54-37,New York Yankees,5,Philadelphia Phillies,2,New York Yankees,1.72,2.27
54-38,Tampa Bay Rays,1,Pittsburgh Pirates,5,Pittsburgh Pirates,1.56,2.85
54-39,Colorado Rockies,2,Chicago White Sox,4,Chicago White Sox,2.25,1.75
54-40,Milwaukee Brewers,6,San Diego Padres,3,Milwaukee Brewers,1.76,2.25
54-41,Seattle Mariners,3,Los Angeles Angels,7,Los Angeles Angels,1.62,2.5
54-42,Cincinnati Reds,9,San Francisco Giants,4,Cincinnati Reds,1.93,1.95
54-43,Kansas City Royals,11,Arizona Diamondbacks,10,Kansas City Royals,1.63,2.52
54-44,Los Angeles Dodgers,2,Chicago Cubs,2,Chicago Cubs,1.59,2.48
54-45,Oakland Athletics,9,Cleveland Guardians,9,Cleveland Guardians,1.84,2.14
54-46,New York Mets,4,St.Louis Cardinals,6,St.Louis Cardinals,1.85,2.04
54-47,Toronto Blue Jays,10,Pittsburgh Pirates,4,Pittsburgh Pirates,1.62,2.42
54-48,Boston Red Sox,3,Baltimore Orioles,2,Boston Red Sox,1.54,2.81
54-49,Houston Astros,2,Washington Nationals,3,Washington Nationals,2.38,1.65
54-50,Minnesota Twins,3,Tampa Bay Rays,0,Minnesota Twins,1.9,2.1
Jan-53,Baltimore Orioles,5,Detroit Tigers,4,Baltimore Orioles,2.11,2.3
Feb-53,Miami Marlins,3,Houston Astros,4,Houston Astros,2.1,1.99
Mar-53,Minnesota Twins,6,Boston Red Sox,3,Minnesota Twins,1.86,2.16
Apr-53,New York Yankees,7,Pittsburgh Pirates,4,New York Yankees,1.49,2.85
May-53,Kansas City Royals,5,Los Angeles Dodgers,10,Kansas City Royals,2.1,1.83
Jun-53,Baltimore Orioles,14,Pittsburgh Pirates,5,Pittsburgh Pirates,1.72,2.3
Jul-53,Colorado Rockies,8,Texas Rangers,7,Colorado Rockies,1.88,1.97
Aug-53,Milwaukee Brewers,7,Seattle Mariners,7,Seattle Mariners,1.63,2.6
Sep-53,San Diego Padres,2,Chicago Cubs,2,Chicago Cubs,1.67,2.45
Oct-53,Chicago White Sox,3,Los Angeles Angels,12,Chicago White Sox,1.68,2.45
Nov-53,Cleveland Guardians,9,Oakland Athletics,2,Cleveland Guardians,1.71,2.4
Dec-53,San Francisco Giants,1,Cincinnati Reds,2,Cincinnati Reds,1.77,2.22
53-13,New York Mets,4,Washington Nationals,2,New York Mets,1.6,2.6
53-14,Atlanta Braves,8,Minnesota Twins,6,Atlanta Braves,1.74,2.2
53-15,Boston Red Sox,5,Tampa Bay Rays,3,Boston Red Sox,1.8,2.18
53-16,Detroit Tigers,14,Philadelphia Phillies,8,Philadelphia Phillies,1.79,2.2
53-17,New York Yankees,9,Toronto Blue Jays,10,New York Yankees,1.88,2.01
53-18,St.Louis Cardinals,2,Miami Marlins,9,Miami Marlins,2,2.01
53-19,Seattle Mariners,3,Chicago White Sox,0,Seattle Mariners,1.94,2.08
53-20,Los Angeles Dodgers,5,San Diego Padres,5,San Diego Padres,1.67,2.46
53-21,Houston Astros,2,New York Mets,1,Houston Astros,1.93,2.01
53-22,Arizona Diamondbacks,5,Los Angeles Angels,5,Los Angeles Angels,1.8,2.2
53-23,Chicago Cubs,1,Colorado Rockies,17,Colorado Rockies,1.79,2.21
53-24,Kansas City Royals,4,Texas Rangers,8,Texas Rangers,1.76,2.25
53-25,Oakland Athletics,6,Milwaukee Brewers,3,Oakland Athletics,2.3,1.78
53-26,San Francisco Giants,2,Cleveland Guardians,10,San Francisco Giants,1.67,2.4
53-27,Toronto Blue Jays,4,Detroit Tigers,8,Detroit Tigers,1.57,2.58
53-28,Atlanta Braves,6,Boston Red Sox,3,Atlanta Braves,1.61,2.6
53-29,Philadelphia Phillies,6,New York Yankees,5,Philadelphia Phillies,2.13,1.82
53-30,Pittsburgh Pirates,2,Minnesota Twins,1,Pittsburgh Pirates,1.83,2.12
53-31,St.Louis Cardinals,5,Washington Nationals,4,St.Louis Cardinals,1.67,2.45
53-32,Tampa Bay Rays,9,Baltimore Orioles,4,Tampa Bay Rays,1.52,2.86
53-33,New York Mets,9,Miami Marlins,3,New York Mets,1.72,2.22
53-34,Baltimore Orioles,8,Boston Red Sox,5,Baltimore Orioles,2.26,1.81
53-35,Washington Nationals,8,Houston Astros,10,Washington Nationals,1.8,2.15
53-36,Colorado Rockies,6,Los Angeles Dodgers,6,Los Angeles Dodgers,2.3,1.73
53-37,Los Angeles Angels,5,Chicago Cubs,4,Los Angeles Angels,1.65,2.43
53-38,Milwaukee Brewers,3,Arizona Diamondbacks,10,Milwaukee Brewers,1.62,2.5
53-39,Chicago White Sox,6,San Francisco Giants,9,San Francisco Giants,1.8,2.2
53-40,Cleveland Guardians,2,Seattle Mariners,3,Seattle Mariners,1.93,2.01
53-41,Kansas City Royals,5,Cincinnati Reds,4,Kansas City Royals,1.93,2
53-42,Oakland Athletics,3,Texas Rangers,5,Texas Rangers,1.96,2.05
53-43,Toronto Blue Jays,,Atlanta Braves,,Atlanta Braves,1.63,2.6
53-44,Detroit Tigers,5,New York Yankees,3,Detroit Tigers,1.84,2.2
53-45,Minnesota Twins,7,Tampa Bay Rays,1,Minnesota Twins,1.93,1.95
53-46,Pittsburgh Pirates,3,Philadelphia Phillies,3,Philadelphia Phillies,2.3,1.77
53-47,Cincinnati Reds,12,Milwaukee Brewers,8,Milwaukee Brewers,2.34,1.72
53-48,New York Yankees,7,Baltimore Orioles,1,New York Yankees,1.53,2.67
53-49,Colorado Rockies,4,Kansas City Royals,8,Kansas City Royals,1.9,2
53-50,San Diego Padres,3,Los Angeles Angels,0,San Diego Padres,1.61,2.65
Jan-52,Atlanta Braves,1,Tampa Bay Rays,5,Tampa Bay Rays,1.86,2.09
Feb-52,Boston Red Sox,4,Minnesota Twins,3,Boston Red Sox,1.72,2.29
Mar-52,Pittsburgh Pirates,4,Baltimore Orioles,4,Baltimore Orioles,1.9,2
Apr-52,Cleveland Guardians,1,Los Angeles Dodgers,12,Los Angeles Dodgers,2.6,1.6
May-52,New York Yankees,3,Toronto Blue Jays,11,New York Yankees,1.82,2.13
Jun-52,New York Mets,3,Houston Astros,5,Houston Astros,1.95,2.07
Jul-52,Colorado Rockies,2,Arizona Diamondbacks,9,Arizona Diamondbacks,1.76,2.13
Aug-52,San Diego Padres,4,Milwaukee Brewers,2,San Diego Padres,1.69,2.35
Sep-52,Chicago Cubs,8,Seattle Mariners,5,Chicago Cubs,2.15,1.83
Oct-52,Chicago White Sox,7,Texas Rangers,0,Chicago White Sox,1.62,2.42
Nov-52,Kansas City Royals,5,San Francisco Giants,9,San Francisco Giants,1.8,2.26
Dec-52,Oakland Athletics,5,Cincinnati Reds,4,Oakland Athletics,1.96,2.01
52-13,Baltimore Orioles,7,Tampa Bay Rays,6,Baltimore Orioles,1.91,1.98
52-14,Boston Red Sox,10,Atlanta Braves,7,Atlanta Braves,1.83,2.1
52-15,Minnesota Twins,9,Pittsburgh Pirates,4,Minnesota Twins,1.5,2.88
52-16,Philadelphia Phillies,1,Detroit Tigers,7,Detroit Tigers,1.7,2.3
52-17,Washington Nationals,8,St.Louis Cardinals,29,Washington Nationals,2.25,1.74
52-18,Los Angeles Dodgers,6,Oakland Athletics,4,Los Angeles Dodgers,1.5,2.94
52-19,Miami Marlins,0,New York Mets,10,New York Mets,2.06,1.96
52-20,Colorado Rockies,2,Los Angeles Angels,8,Los Angeles Angels,1.83,2.05
52-21,Seattle Mariners,4,Kansas City Royals,11,Seattle Mariners,1.81,2.09
52-22,Chicago Cubs,3,Arizona Diamondbacks,2,Chicago Cubs,1.66,2.4
52-23,Cleveland Guardians,10,Milwaukee Brewers,3,Milwaukee Brewers,2.14,1.8
52-24,San Francisco Giants,11,San Diego Padres,6,San Diego Padres,1.65,2.43
52-25,Texas Rangers,1,Cincinnati Reds,7,Cincinnati Reds,1.83,2.09
52-26,Houston Astros,3,Washington Nationals,1,Houston Astros,1.51,2.8
52-27,New York Yankees,14,Philadelphia Phillies,2,Philadelphia Phillies,1.75,2.18
52-28,Pittsburgh Pirates,6,Boston Red Sox,2,Pittsburgh Pirates,1.92,2.02
52-29,Tampa Bay Rays,4,Minnesota Twins,2,Tampa Bay Rays,2.05,1.86
52-30,Cincinnati Reds,2,Chicago Cubs,4,Chicago Cubs,1.91,2.09
52-31,Arizona Diamondbacks,5,Los Angeles Dodgers,3,Arizona Diamondbacks,2.65,1.57
52-32,Los Angeles Angels,7,Oakland Athletics,2,Los Angeles Angels,1.62,2.5
52-33,Milwaukee Brewers,5,San Francisco Giants,2,Milwaukee Brewers,1.64,2.41
52-34,Seattle Mariners,6,Texas Rangers,5,Seattle Mariners,1.74,2.25
52-35,Chicago White Sox,8,San Diego Padres,9,San Diego Padres,1.8,2.21
52-36,Kansas City Royals,19,Cleveland Guardians,9,Cleveland Guardians,1.53,2.71
52-37,Atlanta Braves,5,Toronto Blue Jays,4,Atlanta Braves,1.72,2.3
52-38,Detroit Tigers,7,New York Yankees,11,Detroit Tigers,1.72,2.2
52-39,Philadelphia Phillies,7,Baltimore Orioles,1,Philadelphia Phillies,1.58,2.55
52-40,St.Louis Cardinals,1,Houston Astros,2,Houston Astros,1.7,2.3
Jan-51,Los Angeles Angels,5,Los Angeles Dodgers,1,Los Angeles Angels,2.15,1.77
Feb-51,Arizona Diamondbacks,4,Cincinnati Reds,15,Arizona Diamondbacks,1.92,2
Mar-51,Milwaukee Brewers,2,Texas Rangers,13,Milwaukee Brewers,1.53,2.71
Apr-51,Chicago White Sox,4,Colorado Rockies,13,Chicago White Sox,1.5,2.75
May-51,Kansas City Royals,8,Seattle Mariners,10,Kansas City Royals,1.64,2.4
Jun-51,Oakland Athletics,8,San Diego Padres,2,Oakland Athletics,2.54,1.71
Jul-51,New York Mets,8,Miami Marlins,4,New York Mets,1.57,2.56
Aug-51,Toronto Blue Jays,7,New York Yankees,5,Toronto Blue Jays,1.62,2.46
Sep-51,Atlanta Braves,3,Boston Red Sox,6,Boston Red Sox,1.81,2.1
Oct-51,Minnesota Twins,8,Baltimore Orioles,2,Minnesota Twins,1.52,2.78
Nov-51,Philadelphia Phillies,8,Detroit Tigers,7,Philadelphia Phillies,1.67,2.35
Dec-51,Pittsburgh Pirates,2,Tampa Bay Rays,9,Tampa Bay Rays,2.4,1.62
51-13,Washington Nationals,9,Houston Astros,6,Washington Nationals,2.47,1.61
51-14,Seattle Mariners,4,Milwaukee Brewers,3,Seattle Mariners,2.07,1.83
51-15,Arizona Diamondbacks,8,Chicago White Sox,4,Arizona Diamondbacks,2.25,1.71
51-16,Cincinnati Reds,6,San Diego Padres,3,Cincinnati Reds,1.75,2.2
51-17,Texas Rangers,3,Cleveland Guardians,1,Texas Rangers,2.25,1.78
51-18,Miami Marlins,,Washington Nationals,,Washington Nationals,1.77,2.19
51-19,Houston Astros,,St.Louis Cardinals,,St.Louis Cardinals,1.77,2.3
51-20,Oakland Athletics,11,Colorado Rockies,11,Colorado Rockies,1.66,2.35
51-21,Chicago Cubs,5,Los Angeles Angels,4,Chicago Cubs,1.69,2.3
51-22,Los Angeles Dodgers,2,San Francisco Giants,10,Los Angeles Dodgers,1.71,2.36
51-23,Toronto Blue Jays,2,Philadelphia Phillies,2,Philadelphia Phillies,1.56,2.6
51-24,Boston Red Sox,2,Pittsburgh Pirates,7,Pittsburgh Pirates,1.5,2.77
51-25,Detroit Tigers,0,Baltimore Orioles,2,Baltimore Orioles,1.68,2.28
51-26,New York Yankees,10,Atlanta Braves,0,New York Yankees,1.5,2.89
51-27,Tampa Bay Rays,2,Minnesota Twins,8,Minnesota Twins,1.67,2.4
51-28,Colorado Rockies,2,Seattle Mariners,1,Colorado Rockies,1.86,2.07
51-29,San Diego Padres,4,Kansas City Royals,2,San Diego Padres,1.81,2.26
51-30,Los Angeles Angels,7,Cincinnati Reds,6,Los Angeles Angels,1.6,2.56
51-31,Chicago White Sox,4,Oakland Athletics,12,Chicago White Sox,1.47,3
51-32,San Francisco Giants,7,Texas Rangers,7,Texas Rangers,1.69,2.41
51-33,Baltimore Orioles,3,Philadelphia Phillies,2,Baltimore Orioles,2.25,1.74
51-34,Detroit Tigers,2,New York Yankees,6,New York Yankees,2.29,1.83
51-35,Houston Astros,2,Miami Marlins,1,Houston Astros,1.66,2.52
51-36,Minnesota Twins,8,Atlanta Braves,7,Minnesota Twins,1.74,2.25
51-37,Pittsburgh Pirates,6,Toronto Blue Jays,6,Toronto Blue Jays,2.07,1.83
51-38,St.Louis Cardinals,7,New York Mets,2,St.Louis Cardinals,2.2,1.8
51-39,Tampa Bay Rays,9,Boston Red Sox,3,Tampa Bay Rays,1.88,2.08
51-40,Seattle Mariners,3,Cleveland Guardians,2,Seattle Mariners,1.71,2.35
51-41,Cincinnati Reds,2,Chicago White Sox,8,Chicago White Sox,2.05,1.9
51-42,Miami Marlins,7,St.Louis Cardinals,4,Miami Marlins,1.7,2.35
51-43,New York Mets,3,Washington Nationals,7,Washington Nationals,1.58,2.62
51-44,Arizona Diamondbacks,8,San Diego Padres,2,Arizona Diamondbacks,2.4,1.72
51-45,Milwaukee Brewers,5,Los Angeles Angels,10,Milwaukee Brewers,1.88,2.09
51-46,Oakland Athletics,4,Kansas City Royals,5,Kansas City Royals,1.9,1.98
51-47,San Francisco Giants,13,Colorado Rockies,2,Colorado Rockies,1.57,2.66
51-48,Texas Rangers,8,Los Angeles Dodgers,2,Texas Rangers,2.25,1.75
51-49,Toronto Blue Jays,5,Detroit Tigers,3,Toronto Blue Jays,1.53,2.71
51-50,Philadelphia Phillies,5,New York Yankees,3,Philadelphia Phillies,1.58,2.52
Jan-50,Detroit Tigers,2,Chicago White Sox,5,Chicago White Sox,2.27,1.79
Feb-50,Tampa Bay Rays,5,Baltimore Orioles,3,Tampa Bay Rays,1.47,2.98
Mar-50,Arizona Diamondbacks,0,San Diego Padres,3,San Diego Padres,2.44,1.74
Apr-50,Los Angeles Angels,6,Houston Astros,13,Los Angeles Angels,2,2.11
May-50,Atlanta Braves,7,Cincinnati Reds,6,Atlanta Braves,1.64,2.65
Jun-50,Toronto Blue Jays,10,Texas Rangers,8,Texas Rangers,1.62,2.65
Jul-50,Washington Nationals,3,New York Mets,7,New York Mets,2.45,1.66
Aug-50,San Francisco Giants,6,Miami Marlins,5,San Francisco Giants,1.71,2.35
Sep-50,Colorado Rockies,3,Los Angeles Dodgers,5,Los Angeles Dodgers,2.9,1.49
Oct-50,Minnesota Twins,1,Seattle Mariners,2,Seattle Mariners,1.9,2.11
Nov-50,Tampa Bay Rays,2,Baltimore Orioles,1,Tampa Bay Rays,1.54,2.9
Dec-50,Philadelphia Phillies,9,Oakland Athletics,5,Philadelphia Phillies,1.54,2.76
50-13,Detroit Tigers,5,Chicago White Sox,4,Detroit Tigers,2.21,1.78
50-14,New York Yankees,6,Boston Red Sox,5,New York Yankees,1.61,2.63
50-15,Arizona Diamondbacks,4,San Diego Padres,2,Arizona Diamondbacks,2.3,1.77
50-16,Los Angeles Angels,1,Houston Astros,3,Houston Astros,1.85,2.17
50-17,Atlanta Braves,3,Cincinnati Reds,6,Cincinnati Reds,1.6,2.65
50-18,Washington Nationals,1,New York Mets,5,New York Mets,2.5,1.87
50-19,St.Louis Cardinals,9,Pittsburgh Pirates,0,St.Louis Cardinals,1.65,2.62
50-20,Kansas City Royals,3,Cleveland Guardians,1,Kansas City Royals,2.11,1.85
50-21,Chicago Cubs,5,Milwaukee Brewers,4,Chicago Cubs,2.63,1.6
50-22,Detroit Tigers,,Baltimore Orioles,,Baltimore Orioles,1.63,2.38
50-23,Tampa Bay Rays,2,Philadelphia Phillies,9,Philadelphia Phillies,1.81,2.11
50-24,Los Angeles Dodgers,5,Los Angeles Angels,0,Los Angeles Dodgers,1.66,2.51
50-25,San Francisco Giants,7,Oakland Athletics,7,Oakland Athletics,1.64,2.46
50-26,Milwaukee Brewers,5,Kansas City Royals,4,Milwaukee Brewers,1.83,2.14
50-27,San Diego Padres,6,Chicago White Sox,9,Chicago White Sox,1.83,2.04
50-28,Cincinnati Reds,12,Seattle Mariners,9,Seattle Mariners,2,1.86
50-29,Texas Rangers,11,Chicago Cubs,5,Chicago Cubs,1.65,2.56
50-30,Toronto Blue Jays,2,Baltimore Orioles,1,Toronto Blue Jays,1.48,2.99
50-31,Atlanta Braves,1,Tampa Bay Rays,0,Atlanta Braves,1.66,2.45
50-32,Boston Red Sox,10,Minnesota Twins,6,Minnesota Twins,1.83,2.09
50-33,New York Yankees,3,Detroit Tigers,5,Detroit Tigers,1.65,2.4
50-34,Philadelphia Phillies,5,Pittsburgh Pirates,1,Philadelphia Phillies,1.57,2.61
50-35,Washington Nationals,14,New York Mets,0,Washington Nationals,1.86,2.1
50-36,Miami Marlins,0,St.Louis Cardinals,7,St.Louis Cardinals,1.86,2.13
50-37,Colorado Rockies,7,Milwaukee Brewers,8,Milwaukee Brewers,2.14,1.91
50-38,Los Angeles Dodgers,4,Los Angeles Angels,10,Los Angeles Dodgers,1.58,2.67
50-39,Chicago Cubs,15,Chicago White Sox,9,Chicago White Sox,2.12,1.8
50-40,Cincinnati Reds,10,Kansas City Royals,6,Kansas City Royals,1.85,2.01
Jan-49,Minnesota Twins,2,Los Angeles Dodgers,7,Los Angeles Dodgers,2.4,1.72
Feb-49,Atlanta Braves,16,Washington Nationals,4,Washington Nationals,1.64,2.75
Mar-49,Los Angeles Angels,4,Miami Marlins,3,Los Angeles Angels,1.91,2.48
Apr-49,Baltimore Orioles,4,Milwaukee Brewers,5,Milwaukee Brewers,2.55,1.63
May-49,New York Yankees,4,Toronto Blue Jays,0,New York Yankees,1.84,2.18
Jun-49,Philadelphia Phillies,0,New York Mets,2,New York Mets,1.83,2.35
Jul-49,Tampa Bay Rays,9,Oakland Athletics,8,Tampa Bay Rays,1.57,2.81
Aug-49,Pittsburgh Pirates,1,Chicago Cubs,2,Chicago Cubs,2.05,1.9
Sep-49,Chicago White Sox,3,Seattle Mariners,2,Chicago White Sox,1.93,2.12
Oct-49,Cincinnati Reds,5,Cleveland Guardians,10,Cincinnati Reds,1.96,2.01
Nov-49,Detroit Tigers,3,Boston Red Sox,5,Boston Red Sox,2.14,1.87
Dec-49,San Francisco Giants,2,San Diego Padres,4,San Diego Padres,1.9,2.45
49-13,Los Angeles Angels,6,Miami Marlins,2,Los Angeles Angels,1.84,2.45
49-14,Minnesota Twins,4,Seattle Mariners,0,Minnesota Twins,1.81,2.24
49-15,Atlanta Braves,2,Washington Nationals,11,Atlanta Braves,1.66,3.08
49-16,New York Yankees,0,Toronto Blue Jays,3,Toronto Blue Jays,1.88,2.1
49-17,Philadelphia Phillies,5,New York Mets,4,Philadelphia Phillies,1.74,2.44
49-18,Tampa Bay Rays,2,Oakland Athletics,13,Tampa Bay Rays,1.5,3.01
49-19,Detroit Tigers,3,Boston Red Sox,1,Detroit Tigers,2.2,1.87
49-20,Texas Rangers,4,Colorado Rockies,6,Colorado Rockies,1.8,2.2
49-21,Baltimore Orioles,2,Milwaukee Brewers,0,Baltimore Orioles,2.39,1.68
49-22,Kansas City Royals,7,Cleveland Guardians,10,Kansas City Royals,2.03,1.96
49-23,New York Yankees,3,Boston Red Sox,4,Boston Red Sox,1.76,2.27
49-24,Arizona Diamondbacks,5,San Diego Padres,10,Arizona Diamondbacks,2.44,1.66
49-25,Los Angeles Angels,1,Houston Astros,4,Houston Astros,1.98,1.97
49-26,San Francisco Giants,3,Miami Marlins,2,San Francisco Giants,1.95,2.08
49-27,Colorado Rockies,9,Los Angeles Dodgers,4,Colorado Rockies,2.83,1.51
49-28,Chicago Cubs,4,Milwaukee Brewers,5,Milwaukee Brewers,2.2,1.81
49-29,St.Louis Cardinals,4,Pittsburgh Pirates,9,Pittsburgh Pirates,1.48,3.08
49-30,Kansas City Royals,3,Cleveland Guardians,17,Kansas City Royals,1.88,2.15
49-31,Minnesota Twins,10,Seattle Mariners,4,Seattle Mariners,1.76,2.3
49-32,Toronto Blue Jays,6,Texas Rangers,12,Toronto Blue Jays,1.53,3.06
49-33,Atlanta Braves,3,Cincinnati Reds,6,Cincinnati Reds,1.6,2.61
49-34,Washington Nationals,4,New York Mets,2,Washington Nationals,2.26,1.76
49-35,Detroit Tigers,1,Chicago White Sox,10,Chicago White Sox,2.23,1.79
49-36,Tampa Bay Rays,8,Baltimore Orioles,0,Tampa Bay Rays,1.59,2.76
49-37,Philadelphia Phillies,1,Oakland Athletics,4,Oakland Athletics,1.49,3.02
49-38,Los Angeles Angels,2,Houston Astros,0,Los Angeles Angels,2.05,2.01
49-39,Arizona Diamondbacks,2,San Diego Padres,5,San Diego Padres,2.55,1.64
49-40,Colorado Rockies,3,Los Angeles Dodgers,2,Colorado Rockies,2.5,1.69
49-41,Atlanta Braves,2,Cincinnati Reds,1,Atlanta Braves,1.62,2.7
49-42,Washington Nationals,0,New York Mets,5,New York Mets,2.35,1.76
49-43,Kansas City Royals,1,Cleveland Guardians,0,Kansas City Royals,1.88,2.11
49-44,New York Yankees,4,Boston Red Sox,2,New York Yankees,1.68,2.46
49-45,Philadelphia Phillies,4,Oakland Athletics,2,Philadelphia Phillies,1.54,2.76
49-46,San Francisco Giants,1,Miami Marlins,2,Miami Marlins,1.71,2.32
49-47,Toronto Blue Jays,4,Texas Rangers,3,Toronto Blue Jays,1.51,2.87
49-48,Chicago Cubs,9,Milwaukee Brewers,0,Chicago Cubs,2.4,1.7
49-49,St.Louis Cardinals,6,Pittsburgh Pirates,2,St.Louis Cardinals,1.61,2.53
